id,name,sex,old,address,email,phone
41,Alice,F,83,3802 Apricot St,alice5@example.com,555-3248
42,Grace,F,29,3903 Cherry St,grace6@example.com,555-4359
43,Grace,F,37,4004 Grape St,grace7@example.com,555-5460
44,Jack,F,77,4105 Melon St,jack5@example.com,555-6571
45,Charlie,M,67,4206 Plum St,charlie7@example.com,555-7682
46,Grace,F,58,4307 Lemon St,grace8@example.com,555-8793
47,Grace,F,70,4408 Lime St,grace9@example.com,555-9804
48,Grace,M,75,4509 Orange St,grace10@example.com,555-0915
49,Grace,M,59,4601 Papaya St,grace11@example.com,555-1026
50,Isaac,F,58,4702 Mango St,isaac2@example.com,555-2138
51,Hannah,F,59,4803 Guava St,hannah6@example.com,555-3249
52,David,M,60,4904 Lychee St,david8@example.com,555-4360
53,Isaac,M,21,5005 Longan St,isaac3@example.com,555-5461
54,Bob,F,45,5106 Fig St,bob4@example.com,555-6572
55,Isaac,F,49,5207 Peach St,isaac4@example.com,555-7683
56,David,M,38,5308 Mango St,david9@example.com,555-8794
57,David,F,60,5409 Guava St,david10@example.com,555-9805
58,Frank,F,82,5501 Lychee St,frank5@example.com,555-0916
59,Frank,M,22,5602 Longan St,frank6@example.com,555-1027
60,David,F,74,5703 Mango St,david11@example.com,555-2139
61,Charlie,M,56,5804 Guava St,charlie8@example.com,555-3250
62,Alice,F,29,5905 Lychee St,alice6@example.com,555-4361
63,Isaac,M,73,6006 Longan St,isaac5@example.com,555-5462
64,Eve,F,87,6107 Mango St,eve2@example.com,555-6573
65,Charlie,M,55,6208 Guava St,charlie9@example.com,555-7684
66,Bob,M,61,6309 Lychee St,bob5@example.com,555-8795
67,Isaac,M,20,6401 Longan St,isaac6@example.com,555-9806
68,Frank,F,35,6502 Mango St,frank7@example.com,555-0917
69,Hannah,F,35,6603 Guava St,hannah7@example.com,555-1028
70,Jack,M,70,6704 Lychee St,jack6@example.com,555-2140
71,Frank,F,50,6805 Longan St,frank8@example.com,555-3251
72,Jack,M,57,6906 Mango St,jack7@example.com,555-4362
73,Hannah,F,18,7007 Guava St,hannah8@example.com,555-5463
74,David,F,29,7108 Lychee St,david12@example.com,555-6574
75,Grace,M,50,7209 Longan St,grace12@example.com,555-7685
76,Charlie,M,35,7301 Mango St,charlie10@example.com,555-8796
77,Frank,M,63,7402 Guava St,frank9@example.com,555-9807
78,Frank,F,45,7503 Lychee St,frank10@example.com,555-0918
79,David,M,90,7604 Longan St,david13@example.com,555-1029
80,Eve,F,38,7705 Mango St,eve3@example.com,555-2141
