id,name,sex,old,address,email,phone
1,Alice,M,19,123 Main St,alice@example.com,555-1234
2,Charlie,F,51,456 Elm St,charlie@example.com,555-5678
3,Frank,F,45,789 Oak St,frank@example.com,555-8765
4,Grace,M,21,101 Pine St,grace@example.com,555-4321
5,David,F,68,202 Maple St,david@example.com,555-2345
6,Alice,F,89,303 Birch St,alice2@example.com,555-6789
7,Charlie,M,20,404 Cedar St,charlie2@example.com,555-3456
8,Bob,M,47,505 Walnut St,bob@example.com,555-7890
9,Grace,M,36,606 Spruce St,grace2@example.com,555-9012
10,Jack,F,34,707 Fir St,jack@example.com,555-2134
11,Charlie,M,64,808 Ash St,charlie3@example.com,555-3245
12,Frank,M,88,909 Cherry St,frank2@example.com,555-4356
13,David,F,19,1001 Beech St,david2@example.com,555-5467
14,Charlie,M,40,1102 Poplar St,charlie4@example.com,555-6578
15,Jack,F,37,1203 Sycamore St,jack2@example.com,555-7689
16,Frank,M,48,1304 Cypress St,frank3@example.com,555-8790
17,Isaac,F,47,1405 Willow St,isaac@example.com,555-9801
18,Bob,F,21,1506 Redwood St,bob2@example.com,555-0912
19,David,F,69,1607 Palm St,david3@example.com,555-1023
20,Frank,F,27,1708 Bamboo St,frank4@example.com,555-2135
21,Eve,M,46,1809 Pineapple St,eve@example.com,555-3246
22,Alice,F,26,1901 Coconut St,alice3@example.com,555-4357
23,Hannah,F,35,2002 Mango St,hannah@example.com,555-5468
24,Hannah,M,40,2103 Guava St,hannah2@example.com,555-6579
25,Jack,M,27,2204 Papaya St,jack3@example.com,555-7680
26,Hannah,F,38,2305 Lychee St,hannah3@example.com,555-8791
27,Jack,F,62,2406 Rambutan St,jack4@example.com,555-9802
28,Grace,M,40,2507 Longan St,grace3@example.com,555-0913
29,Grace,M,76,2608 Durian St,grace4@example.com,555-1024
30,David,F,76,2709 Mangosteen St,david4@example.com,555-2136
31,Grace,F,68,2801 Jackfruit St,grace5@example.com,555-3247
32,Hannah,M,42,2902 Kiwi St,hannah4@example.com,555-4358
33,Bob,M,74,3003 Starfruit St,bob3@example.com,555-5469
34,Charlie,M,30,3104 Dragonfruit St,charlie5@example.com,555-6570
35,David,F,65,3205 Passionfruit St,david5@example.com,555-7681
36,Alice,M,62,3306 Fig St,alice4@example.com,555-8792
37,Charlie,F,76,3407 Pomegranate St,charlie6@example.com,555-9803
38,David,F,89,3508 Persimmon St,david6@example.com,555-0914
39,David,F,39,3609 Peach St,david7@example.com,555-1025
40,Hannah,M,69,3701 Pear St,hannah5@example.com,555-2137
